id,conversation,username,text,retweets,favorites,date,batch
919655831884271617,919655831884271617,sharonaly,if you have been the victim of sexual assault or harassment .,0,0,2017-10-15,batch_200.json
925688907072761856,925688907072761856,ChuckVansShow,i remember one margarita pour off with hahaha,0,7,2017-11-01,batch_200.json
920098002496315392,920098002496315392,kerryymerrill,i have typed and deleted several times now and fought myself building up the courage to say anything .  5 years after the first time and i ’ m still not ready to fully speak out in detail .,1,70,2017-10-16,batch_200.json
920139810202730496,920139281422680064,ajcarberry,i ’ m strong girls are strong women are strong and we denial  of  normal ’ t need sympathy . we need and demand change . (,1,26,2017-10-17,batch_200.json
920119296658833408,920098002496315392,ajcarberry,inspired by your courage girl thank you,0,0,2017-10-16,batch_200.json
920338283904753671,920338283904753671,eden_owl,harassment from male customers should not be part of a service workers job description we are at work .,0,9,2017-10-17,batch_200.json
924707540444725248,924707540444725248,thejordynbrown,another story in the today ! loved writing about this thriller film looking at women ’ s issues  - …,0,1,2017-10-29,batch_200.json
920130273437552640,920130273437552640,GalenEttlin,what does mean to you ?,2,8,2017-10-16,batch_200.json
920021613160030208,920021613160030208,GalenEttlin,a lot of brave people out there posting showing scale of sexual assaul you re not alone . if you feel safe please share .,0,3,2017-10-16,batch_200.json
919776312046239744,919776312046239744,jmadams77,as a successful woman in tech it s all too common at work and everywhere,0,0,2017-10-16,batch_200.json
920175390714339328,920175390714339328,mrs_meechy,because i could barely utter the words you said to me when i tried to tell my story . <repeated> but now i know what to say .,0,9,2017-10-17,batch_200.json
920905770765389825,920905770765389825,addEmursh,to all women we are strong,0,8,2017-10-19,batch_200.json
920019103783383047,920017318826057728,hanlau,for all the people who see and aren t sure whether or not to speak up : you don 't have to share until you re ready or ever .,2,5,2017-10-16,batch_200.json
920018492308385793,920017318826057728,hanlau,has been an incredible reminder of the power we take back when we share our stories . sharing my story hasn t ruined my life .,0,2,2017-10-16,batch_200.json
919791663693799426,919791119373758465,hanlau,proud of you today sisters . take care of yourselves .,0,1,2017-10-16,batch_200.json
919791365482889216,919791119373758465,hanlau,i would stand up every day & say & i ’ m proud to say it today too .,0,0,2017-10-16,batch_200.json
919791119373758465,919791119373758465,hanlau,tonight i shared my story w / male students we talked about the rape itself but also about being an ally . speaking up .,0,5,2017-10-16,batch_200.json
924827019044687874,924824451879002112,jaykyle8,i am in no way intending to delegitimize any woman ’ s experience . it is disgusting and vile what men do to women and the messages . <repeated>,0,1,2017-10-29,batch_200.json
919988763530616832,919988763530616832,jaykyle8,i get the tweets but it ’ s time to challenge men to say and also need to do a lot more than hashtags,1,11,2017-10-16,batch_200.json
930563076583124993,930563076583124993,Nicholette121,ladies . there are some amazing guys out there . they are the ones speaking up in choruses right now showing their true appreciation and respect for you and the awesomeness that you do and not expecting anything in return . to those guys i say thank you .,1,5,2017-11-14,batch_200.json
930235901124341760,930235901124341760,Nicholette121,from the captain . support from good men is what we need . thank you to all the guys standing with us . it means the world to us . major example to the sons of the world . …,2,3,2017-11-13,batch_200.json
929390868707999745,929390868707999745,Nicholette121,there s a reason i  have never tried to be in the entertainment industry .,0,1,2017-11-11,batch_200.json
920142511531638785,920142511531638785,Nicholette121,if we only focus on harvey what   ever already lost . <repeated> and the number of people i want to hug and cry with is immeasurable . …,0,1,2017-10-17,batch_200.json
919735258022424576,919735258022424576,Nicholette121,he had the audacity to ask me to be his after he had cornered me in the band closet i got away . consider myself lucky . …,2,5,2017-10-15,batch_200.json
919716548092116992,919716548092116992,Nicholette121,reading and wanting to extend hugs and a listening ear to everyone who needs it .,2,3,2017-10-15,batch_200.json
920093460215996417,920093460215996417,m_swansong,hard to say it and see it in public . should have pressed for era in ’  73 . one of my few regrets .,0,1,2017-10-16,batch_200.json
922314930115592192,922314930115592192,kristinbartus,positive effects of instant  message totally empowered to shut down any dude who gets remotely fresh or handsy with me in vegas .,0,6,2017-10-23,batch_200.json
919801349910380544,919801349910380544,mandujano_lily,isn ’ t just for the ladies . men are victims too ! <repeated>,1,2,2017-10-16,batch_200.json
919800008521629696,919800008521629696,mandujano_lily,sexual harassment is not okay because we ’ reply dating,2,9,2017-10-16,batch_200.json
919798050888880128,919798050888880128,mandujano_lily,is all i can say and it sucks .,3,7,2017-10-16,batch_200.json
928777840161689605,928777840161689605,JAPollard1,the mr . is probably fed up with my anger and frustration but he is a good man .,0,0,2017-11-09,batch_200.json
919976148729184256,919976148729184256,mtmcdermit,in response to,3,6,2017-10-16,batch_200.json
921150850751442944,921150850751442944,CarriBugbee,my pal is interviewed about campaign to unite victims of sexual harassment & assault .,1,2,2017-10-19,batch_200.json
920030183054368768,920030183054368768,MaggieRolicheck,if you re a woman and you don 't have a story you either didn t recognize the harassment or you re a unicorn .,0,0,2017-10-16,batch_200.json
922187145929900032,922125184928071680,JMar254,a long with would you consider or some form close to your heart ?,0,0,2017-10-22,batch_200.json
919775870801158144,919775870801158144,oregon_girl3,i know who started the hashtag . who started the hashtag ?,0,0,2017-10-16,batch_200.json
919772956179316738,919769254374785025,oregon_girl3,damn . now i wish i wouldn ’ t have posted one relating to i didn ’ t engage in the mainly of welcome  on cam being erased .,0,2,2017-10-15,batch_200.json
919765337779798017,919765337779798017,oregon_girl3,thread . …,1,0,2017-10-15,batch_200.json
919765048746156032,919762513364783104,oregon_girl3,this is why i denial  of  normal ’ t use my picture or name on here anymore . it sucks because i know most people aren ’ t creepy like that but some are .,0,6,2017-10-15,batch_200.json
919762513364783104,919762513364783104,oregon_girl3,i ’ m not quite ready to talk about my in person experiences i ’ ve had abuse but i would like to talk about one i had,0,3,2017-10-15,batch_200.json
919744709014126592,919744034242945024,oregon_girl3,now conservatives and men are hijacking to spread divisiveness promote political agendas and shame sexual assault victims .,1,1,2017-10-15,batch_200.json
919738687067262982,919738687067262982,oregon_girl3,of all the conservatives using legitimately he chose to amplify this . this is why he gets called out for pandering divisive rhetoric . …,0,3,2017-10-15,batch_200.json
920060813313847298,920060813313847298,xxjeannexx,i might still have my dream job in my dream industry if it weren t for the response i got when i came forward about an assault .,0,3,2017-10-16,batch_200.json
919918026941763584,919918026941763584,NickRigas2,here we are in  2017 still acting like sexual assault only happens to women . every post is geared at women and that s sickening,0,0,2017-10-16,batch_200.json
920107454490226688,920107454490226688,SDane95,14 years old . why did she let you guys in here ? can ’ t breathe . get off me . so heavy . ow . denial  of  normal ’ t tell we ’ ll all get in trouble . okay .,0,0,2017-10-16,batch_200.json
919742404034314240,919742404034314240,HideChewer,don 't worry they will be there to cut out the pieces …,0,0,2017-10-15,batch_200.json
919942003231617029,919942003231617029,MichelleRoss06,while serving our country,0,0,2017-10-16,batch_200.json
919989741516230661,919989741516230661,bethanykarena,over and over all over the world,0,1,2017-10-16,batch_200.json
930536436532514817,929056376558678022,pittore,bravo ! like those who have the courage to stand up to bullies and fascists deserve many kudos .,0,1,2017-11-14,batch_200.json
919895289980338176,919895289980338176,sammihasaface,and i wish i could just forget .,1,1,2017-10-16,batch_200.json
